FILE NAME^# OF ENTRIES^GLOBAL^FILE VERSION^LAST IEN
FILE^2792^DIC(^
INDEX^1453^DD("IX",^22.2^1508
RADIOPHARMACEUTICAL SOURCE^^RAMIS(71.8,^5.0^
RADIOPHARMACEUTICAL LOT^^RAMIS(71.9,^5.0^
MASTER RADIOLOGY SITE^^RAMRPF(71.98,^5.0^
MASTER RADIOLOGY PROCEDURE^9^RAMRPF(71.99,^5.0^9
EXAMINATION STATUS^54^RA(72,^5.0^54
RAD MODALITY DEFINED TERMS^36^RAMIS(73.1,^5.0^36
RADIOLOGY CPT BY PROCEDURE TYPE^1762^RA(73.2,^5.0^1743
RAD/NUC MED REPORTS^^RARPT(^5.0^
STANDARD REPORTS^^RA(74.1,^5.0^
REPORT BATCHES^^RABTCH(74.2,^5.0^
REPORT DISTRIBUTION QUEUE^6^RABTCH(74.3,^5.0^6
REPORT DISTRIBUTION^^RABTCH(74.4,^5.0^
RAD/NUC MED ORDERS^^RAO(75.1,^5.0^
RAD/NUC MED REASON^32^RA(75.2,^5.0^32
COMPLICATION TYPES^1^RA(78.1,^5.0^2
LBL/HDR/FTR FORMATS^^RA(78.2,^5.0^
DIAGNOSTIC CODES^48^RA(78.3,^5.0^1300
FILM SIZES^^RA(78.4,^5.0^
CAMERA/EQUIP/RM^^RA(78.6,^5.0^
LABEL PRINT FIELDS^55^RA(78.7,^5.0^55
RAD/NUC MED DIVISION^1^RA(79,^5.0^1
IMAGING LOCATIONS^^RA(79.1,^5.0^
IMAGING TYPE^9^RA(79.2,^5.0^9
HL7 MESSAGE EXCEPTIONS^^RA(79.3,^5.0^
RAD/NUC MED HL7 APPLICATION EXCEPTION^1^RA(79.7,^5.0^183
ICD DIAGNOSIS^87716^ICD9(^18.0^572191
ICD OPERATION/PROCEDURE^83848^ICD0(^18.0^579366
DRG^855^ICD(^18.0^999
MAJOR DIAGNOSTIC CATEGORY^30^ICM(^14.0^99
ICD CODING SYSTEMS^4^ICDS(^18.0^31
DRG SURGICAL HIERARCHY^1^ICDRS(^18.0^1
DRG HAC^12^ICDHAC(^18.0^12
TEMPORARY DIAGNOSES^0^ICDYZ(80.7,^14.0^0
TEMPORARY PROCEDURES^0^ICDYZ(80.8,^14.0^0
TEMPORARY DRG FILE^0^ICDYZ(80.9,^14.0^0
CPT^^ICPT(^6.0^
CPT CATEGORY^^DIC(81.1,^6.0^
CPT COPYRIGHT^1^DIC(81.2,^6.0^1
CPT MODIFIER^^DIC(81.3,^6.0^
DRG DIAGNOSIS IDENTIFIER CODES^273^ICDID(^18.0^273
DRG PROCEDURE IDENTIFIER CODES^223^ICDIP(^18.0^223
DRG PROCEDURE CODE COMBINATIONS^34^ICDIDP(^18.0^34
DRG DIAGNOSIS CODE COMBINATIONS^2^ICDIDD(^18.0^2
DRG CC EXCLUSIONS^1490^ICDCCEX(^18.0^1490
DRG MDC CATEGORY^337^ICDD(83,^18.0^199003
DRG MDC CATEGORY DRG^777^ICDD(83.1,^18.0^199801
DRG MDC CATEGORY DRG ORDER^3^ICDD(83.11,^18.0^3
DRG MDC CATEGORY CASE^415^ICDD(83.2,^18.0^21013
DRG MDC CATEGORY CODE SETS^501^ICDD(83.3,^18.0^31025
DRG DIAGNOSIS^65251^ICDD(83.5,^18.0^565251
DRG PDX EXCLUSION GROUPS^126226^ICDD(83.51,^18.0^126226
DRG PROCEDURE^59519^ICDD(83.6,^18.0^659519
DRG PROCEDURE GROUPS^5694^ICDD(83.61,^18.0^5694
DRG HAC GROUPS^14^ICDD(83.7,^18.0^14
DRG HAC CODE SETS^23^ICDD(83.71,^18.0^23
MEDICAL RECORD^^MR(^5.01^
LAB JOURNAL^189^LAB(95,^5.2^189
LAB ARCHIVAL ACTIVITY^^LAB(95.11,^5.2^
LAB LOINC^86526^LAB(95.3,^5.2^88277
LAB LOINC COMPONENT^44644^LAB(95.31,^5.2^45885
LAB MAPPING TRANSPORT^0^LAHM(95.4,^5.2^
PT. TEXT^^PTX(^5.01^
ORDER^5^OR(100,^3.0^5
ORDER STATUS^16^ORD(100.01,^3.0^99
NATURE OF ORDER^12^ORD(100.02,^3.0^12
ORDER REASON^22^ORD(100.03,^3.0^24
ORDER CHECK INSTANCES^^ORD(100.05,^3.0^
ORDER STATISTICS^^OR(100.1,^^
OE/RR PATIENT EVENT^^ORE(100.2,^3.0^
OE/RR LIST^0^OR(100.21,^3.0^
OE/RR PRINT FIELDS^78^ORD(100.22,^3.0^2006
OE/RR PRINT FORMATS^36^ORD(100.23,^3.0^1038
OE/RR PT SEL COMBO^^OR(100.24,^3.0^
OE/RR ERRORS^^ORYX("ORERR",^3.0^
OE/RR RELEASE EVENTS^^ORD(100.5,^3.0^
OE/RR AUTO-DC RULES^10^ORD(100.6,^3.0^10
OE/RR EPCS PARAMETERS^1^ORD(100.7,^3.0^1
ORDER CHECKS^28^ORD(100.8,^3.0^99
OE/RR NOTIFICATIONS^61^ORD(100.9,^3.0^91
DISPLAY GROUP^57^ORD(100.98,^3.0^280
ORDER PARAMETERS^1^ORD(100.99,^3.0^1
PROTOCOL^4588^ORD(101,^1.6^5103
XQOR WORD PROCESSING^^XUTL("XQORW",^^
OR CPRS TABS^2^ORD(101.13,^3.0^2
OE/RR COM OBJECTS^1^ORD(101.15,^3.0^1
OE/RR REPORT^172^ORD(101.24,^3.0^1604
ORDER EXECUTE CODES^20^ORD(101.3,^^20
ORDER DIALOG^259^ORD(101.41,^3.0^16266
ORDER URGENCY^15^ORD(101.42,^3.0^99
ORDERABLE ITEMS^1700^ORD(101.43,^3.0^1700
ORDER QUICK VIEW^2^ORD(101.44,^3.0^2
ORDER DEA ARCHIVE INFO^^ORPA(101.52,^3.0^
CPRS QUERY DEFINITION^49^ORD(102.21,^3.0^87
CPRS QUERY CONSTRAINT^50^ORD(102.22,^3.0^50
CPRS QUERY EDIT CONTROL^15^ORD(102.23,^3.0^15
CPRS QUERY DISPLAY FIELDS^20^ORD(102.24,^3.0^20
PATIENT TASK^^ORRT(102.3,^1.0^
ORDER ACKNOWLEDGEMENT^^ORA(102.4,^1.0^
ORAM FLOWSHEET^^ORAM(103,^3.0^
MDRO SITE PARAMETERS^5^MMRS(104,^1.0^5
MDRO TOOLS LAB SEARCH/EXTRACT^^MMRS(104.1,^1.0^
MDRO TYPES^5^MMRS(104.2,^1.0^5
MDRO WARD MAPPINGS^^MMRS(104.3,^1.0^
DIETS^1^FH(111,^5.5^1
DIET PATTERNS^^FH(111.1,^5.5^
FOOD NUTRIENTS^12335^FHNU(^5.5^15600
DRI VALUES^22^FH(112.2,^5.5^22
USER MENU^0^FHUM(^5.5^
INGREDIENT^1012^FHING(^5.5^1013
STORAGE LOCATION^^FH(113.1,^5.5^
FH VENDOR^1^FH(113.2,^5.5^1
RECIPE^501^FH(114,^5.5^513
RECIPE CATEGORY^45^FH(114.1,^5.5^45
PREPARATION AREA^^FH(114.2,^5.5^
SERVING UTENSIL^17^FH(114.3,^5.5^17
EQUIPMENT^34^FH(114.4,^5.5^34
NUTRITION PERSON^0^FHPT(^5.5^
FOOD PREFERENCES^0^FH(115.2,^5.5^
NUTRITION CLASSIFICATION^^FH(115.3,^5.5^
NUTRITION STATUS^4^FH(115.4,^5.5^4
DIETETIC NUTRITION PLAN^^FH(115.5,^5.5^
ENCOUNTER TYPES^3^FH(115.6,^5.5^50
DIETETIC ENCOUNTERS^^FHEN(^5.5^
MENU CYCLE^^FH(116,^5.5^
MEAL^^FH(116.1,^5.5^
PRODUCTION DIET^1^FH(116.2,^5.5^1
HOLIDAY MEALS^^FH(116.3,^5.5^
MEALS SERVED^^FH(117,^5.5^
STAFFING DATA^^FH(117.1,^5.5^
DIETETIC COST OF MEALS^^FH(117.2,^5.5^
ANNUAL REPORT^^FH(117.3,^5.5^
DIETETIC REPORT CATEGORIES^38^FH(117.4,^5.5^43
SUPPLEMENTAL FEEDINGS^1^FH(118,^5.5^1
SUPPLEMENTAL FEEDING MENU^1^FH(118.1,^5.5^1
TUBEFEEDING^8^FH(118.2,^5.5^8
STANDING ORDERS^^FH(118.3,^5.5^
DIETITIAN TICKLER FILE^^FH(119,^5.5^
UNITS^204^FH(119.1,^5.5^207
ISOLATION/PRECAUTION TYPE^4^FH(119.4,^5.5^4
DIETETIC CONSULTS^8^FH(119.5,^5.5^8
NUTRITION LOCATION^^FH(119.6,^5.5^
PRODUCTION FACILITY^1^FH(119.71,^5.5^1
SERVICE POINT^^FH(119.72,^5.5^
COMMUNICATION OFFICE^2^FH(119.73,^5.5^2
SUPPLEMENTAL FEEDING SITE^1^FH(119.74,^5.5^1
NUTRITION EVENTS^^FH(119.8,^5.5^
FH SITE PARAMETERS^1^FH(119.9,^5.5^1
GMRV VITAL MEASUREMENT^^GMR(120.5,^5.0^
GMRV VITAL TYPE^19^GMRD(120.51,^5.0^22
GMRV VITAL QUALIFIER^120^GMRD(120.52,^5.0^147
GMRV VITAL CATEGORY^6^GMRD(120.53,^5.0^6
GMRV ORDERS^^GMR(120.55,^4.0^
GMRV VITALS PARAMETERS^1^GMRD(120.57,^5.0^1
PATIENT ALLERGIES^0^GMR(120.8,^4.0^
GMR ALLERGIES^808^GMRD(120.82,^4.0^822
SIGN/SYMPTOMS^595^GMRD(120.83,^4.0^601
GMR ALLERGY SITE PARAMETERS^1^GMRD(120.84,^4.0^1
ADVERSE REACTION REPORTING^0^GMR(120.85,^4.0^
ADVERSE REACTION ASSESSMENT^2^GMR(120.86,^4.0^3
GMRA DOCUMENT^1^GMRD(120.87,^4.0^1
REQUEST/CONSULTATION^^GMR(123,^3.0^
GMRC CONSULT MAPPING^^GMR(123.033,^3.0^
REQUEST ACTION TYPES^24^GMR(123.1,^3.0^26
GMRC PROCEDURE^26^GMR(123.3,^3.0^26
REQUEST SERVICES^14^GMR(123.5,^3.0^45
IFC MESSAGE LOG^^GMR(123.6,^3.0^
CONSULTS PARAMETERS FILE^1^GMR(123.9,^3.0^1
GMRG PARAMETERS^1^GMRD(124.1,^3.0^1
AGGREGATE TERM^6552^GMRD(124.2,^3.0^6552
TERM CLASSIFICATION^12^GMRD(124.25,^3.0^12
GMR TEXT^^GMR(124.3,^3.0^
PROBLEM SELECTION LIST^1^GMPL(125,^2.0^20
PROBLEM SELECTION LIST CONTENTS^^GMPL(125.1,^2.0^
PROBLEM SELECTION CATEGORY^26^GMPL(125.11,^2.0^65
PROBLEM SELECTION CATEGORY CONTENTS^^GMPL(125.12,^2.0^
PROBLEM LIST AUDIT^^GMPL(125.8,^2.0^
PROBLEM LIST SITE PARAMETERS^1^GMPL(125.99,^2.0^1
GMRY PATIENT I/O FILE^^GMR(126,^4.0^
GMRY INPUT TYPE^4^GMRD(126.56,^4.0^4
GMRY OUTPUT TYPE^6^GMRD(126.58,^4.0^6
GMRY OUTPUT SUBTYPE^3^GMRD(126.6,^4.0^3
GMRY IV SITE^10^GMRD(126.7,^4.0^10
GMRY IV SITE DESCRIPTION^7^GMRD(126.72,^4.0^7
GMRY IV CATHETER^11^GMRD(126.74,^4.0^11
GMRY IV DC'ED REASON^10^GMRD(126.76,^4.0^10
GMRY INTAKE ITEMS^10^GMRD(126.8,^4.0^11
GMRY NUR IV SOLUTION^9^GMRD(126.9,^4.0^9
GMRY NUR SHIFT/OTHER^1^GMRD(126.95,^4.0^1
LOINC^76264^ETSLNC(129.1,^1.0^78039
LOINC COMPONENT^37840^ETSLNC(129.11,^1.0^37849
LOINC AXIS CODES^5001^ETSLNC(129.12,^1.0^5001
LOINC METHOD CODES^1307^ETSLNC(129.13,^1.0^1307
LOINC EXCLUDED WORDS^8^ETSLNC(129.14,^1.0^8
RXNORM CONCEPT NAMES AND SOURCES^565252^ETSRXN(129.2,^1.0^565252
RXNORM SIMPLE CONCEPT AND ATOM ATTRIBUTES^1047266^ETSRXN(129.21,^1.0^1047266
RXNORM RELATED CONCEPTS^1481632^ETSRXN(129.22,^1.0^1481632
RXNORM SEMANTIC TYPES^425574^ETSRXN(129.23,^1.0^425574
RXNORM SOURCE INFORMATION^17^ETSRXN(129.24,^1.0^17
SURGERY^0^SRF(^3^
ICD SEARCH API^6^DIC(130.4,^3.0^94
PERSON FIELD RESTRICTION^32^SRP(^^35
SURGERY TRANSPORTATION DEVICES^7^SRO(131.01,^3^7
SPECIAL INSTRUMENTS^^SRO(131.02,^3.0^
SPECIAL SUPPLIES^^SRO(131.04,^3.0^
PHARMACY ITEMS^^SRO(131.06,^3.0^
OPERATION TIMES^^SRO(131.25,^3^
SPECIAL EQUIPMENT^^SRO(131.3,^3.0^
CPT-SPINAL LEVEL^271^SRO(131.4,^3.0^64495
PLANNED IMPLANT^^SRO(131.5,^3.0^
SURGERY DISPOSITION^15^SRO(131.6,^3.0^9
OPERATING ROOM^^SRS(^3^
SURGERY UTILIZATION^^SRU(^3^
PROSTHESIS^0^SRO(131.9,^3.0^
SURGERY POSITION^22^SRO(132,^3^22
RESTRAINTS AND POSITIONAL AIDS^18^SRO(132.05,^3^18
SURGICAL DELAY^21^SRO(132.4,^3^21
ASA CLASS^13^SRO(132.8,^3.0^13
ATTENDING CODES^14^SRO(132.9,^3.0^14
ANESTHESIA SUPERVISOR CODES^9^SRO(132.95,^3^9
SURGERY SITE PARAMETERS^1^SRO(133,^3^1
SURGERY INTERFACE PARAMETER^110^SRO(133.2,^3.0^118
MONITORS^27^SRO(133.4,^3^27
IRRIGATION^16^SRO(133.6,^3^16
SURGERY REPLACEMENT FLUIDS^20^SRO(133.7,^3^20
SURGERY WAITING LIST^^SRO(133.8,^3^
OPERATING ROOM TYPE^13^SRO(134,^3^13
SURGERY CANCELLATION REASON^39^SRO(135,^3^20
SKIN PREP AGENTS^6^SRO(135.1,^3^6
SKIN INTEGRITY^9^SRO(135.2,^3^9
PATIENT MOOD ^6^SRO(135.3,^3^6
PATIENT CONSCIOUSNESS^7^SRO(135.4,^3^7
SURGERY PROCEDURE/DIAGNOSIS CODES^^SRO(136,^3.0^
PERIOPERATIVE OCCURRENCE CATEGORY^42^SRO(136.5,^3.0^42
CPT EXCLUSIONS^17873^SRO(137,^3.0^103470
LOCAL SURGICAL SPECIALTY^13^SRO(137.45,^3^13
ELECTROGROUND POSITIONS^14^SRO(138,^3^14
RISK MODEL LAB TEST^28^SRO(139.2,^^25
SURGERY TRANSPLANT ASSESSMENTS^^SRT(^3.0^
HEALTH SUMMARY TYPE^94^GMT(142,^2.7^1339
HEALTH SUMMARY COMPONENT^109^GMT(142.1,^2.7^222
HEALTH SUMMARY OBJECTS^86^GMT(142.5,^2.7^17
HEALTH SUMMARY USER PREFERENCES^1^GMT(142.98,^2.7^1
HEALTH SUMMARY PARAMETERS^^GMT(142.99,^2.7^
ANCILLARY DSS ID^15^VSIT(150.1,^2.0^15
VSIT SITE CODES^247^VSIT(150.2,^2.0^247
VISIT TRACKING PARAMETERS^1^DIC(150.9,^2.0^1
SCD (SPINAL CORD) REGISTRY^0^SPNL(154,^2.0^
SCD NLOI CATEGORY^31^SPNL(154.01,^2.0^31
ETIOLOGY^16^SPNL(154.03,^2.0^16
OUTCOMES^0^SPNL(154.1,^2.0^
FUNCTIONAL STATUS LEVEL^32^SPNL(154.11,^2.0^32
SCD DISPOSITION CODES^8^SPNL(154.12,^2.0^8
SCD KURTZKE-EDSS^77^SPNL(154.2,^2.0^77
OUTCOME SCORE TYPES^16^SPNL(154.3,^2.0^16
PHYSICAL FACILITY^347^SPNL(154.7,^2.0^851
AD HOC MACRO^^SPNL(154.8,^2.0^
SCD SITE PARAMETERS^^SPNL(154.91,^2.0^
SCD FILTER^27^SPNL(154.92,^2.0^29
SPN ADMISSIONS^^SPNL(154.991,^2.0^
ONCOLOGY PATIENT^0^ONCO(160,^2.2^
ONCOLOGY SITE PARAMETERS^0^ONCO(160.1,^2.2^
TYPE OF RECURRENCE^35^ONCO(160.12,^2.2^35
NON CANCER-DIRECTED SURGERY^9^ONCO(160.14,^2.2^18
ACOS STATE AT DIAGNOSIS^80^ONCO(160.15,^2.2^81
ONCOLOGY DATA EXTRACT FORMAT^3^ONCO(160.16,^2.2^3
ONCOLOGY PCE EXTRACT FORMAT^13^ONCO(160.17,^2.2^100
FACILITY^5880^ONCO(160.19,^2.2^5890
FORMS/INSTRUCTIONS^8^ONCO(160.2,^2.2^9
PRIMARY PAYER AT DIAGNOSIS^17^ONCO(160.3,^2.2^32
RECONSTRUCTIVE SURGERY^10^ONCO(160.4,^2.2^10
SURGICAL APPROACH^9^ONCO(160.6,^2.2^9
FEE BASIS PATIENT^^FBAAA(^3.5^
FEE BASIS VENDOR^^FBAAV(^3.5^
FEE BASIS CNH CONTRACT^^FBAA(161.21,^3.5^
FEE BASIS CNH RATE^^FBAA(161.22,^3.5^
FEE BASIS CNH AUTHORIZATION RATE^^FBAA(161.23,^3.5^
FEE BASIS VENDOR CORRECTION^^FBAA(161.25,^3.5^
FEE BASIS PATIENT MRA^^FBAA(161.26,^3.5^
FEE BASIS SUSPENSION^19^FBAA(161.27,^3.5^19
FEE BASIS LETTER^5^FBAA(161.3,^3.5^5
FEE BASIS PROJECT ARCH JUSTIFICATION^3^FBAA(161.35,^3.5^3
FEE BASIS SITE PARAMETERS^^FBAA(161.4,^3.5^
FEE BASIS CONTRACT^^FBAA(161.43,^3.5^
FEE BASIS PAYMENT MOVES^^FBAA(161.45,^3.5^
FEE CH REPORT OF CONTACT^^FBAA(161.5,^3.5^
FEE BASIS SPECIALTY CODE^36^FBAA(161.6,^3.5^36
FEE BASIS BATCH^0^FBAA(161.7,^3.5^
FEE BASIS PROGRAM^14^FBAA(161.8,^3.5^15
FEE BASIS PARTICIPATION CODE^15^FBAA(161.81,^3.5^15
FEE BASIS PURPOSE OF VISIT^48^FBAA(161.82,^3.5^97
FEE BASIS ID CARD AUDIT^^FBAA(161.83,^3.5^
FEE BASIS PAID TO IB^^FB(161.9,^3.5^
ADJUSTMENT REASON^367^FB(161.91,^3.5^368
ADJUSTMENT GROUP^5^FB(161.92,^3.5^5
REMITTANCE REMARK^1048^FB(161.93,^3.5^1049
PRESENT ON ADMISSION^5^FB(161.94,^3.5^5
IPAC VENDOR AGREEMENT FILE^^FBAA(161.95,^3.5^
IPAC VENDOR AGREEMENT MRA^^FBAA(161.96,^3.5^
FEE BASIS PAYMENT REJECT CODE^206^FBAA(161.99,^3.5^206
FEE BASIS PAYMENT^^FBAAC(^3.5^
FEE BASIS PHARMACY INVOICE^^FBAA(162.1,^3.5^
FEE NOTIFICATION/REQUEST^^FBAA(162.2,^3.5^
FEE CNH ACTIVITY^^FBAACNH(^3.5^
VA FORM 10-7078^^FB7078(^3.5^
FEE BASIS INVOICE^^FBAAI(^3.5^
FEE BASIS DISPOSITION CODE^9^FBAA(162.6,^3.5^9
FEE BASIS UNAUTHORIZED CLAIMS^^FB583(^3.5^
FEE BASIS UNAUTHORIZED CLAIMS PENDING INFO^^FBAA(162.8,^3.5^
FEE BASIS UNAUTHORIZED CLAIMS DISPOSITIONS^5^FB(162.91,^3.5^5
FEE BASIS UNAUTHORIZED CLAIMS STATUS^11^FB(162.92,^3.5^11
FEE BASIS UNAUTHORIZED REQUESTED INFORMATION^1^FB(162.93,^3.5^1
FEE BASIS UNAUTHORIZED DISAPPROVAL REASONS^15^FB(162.94,^3.5^15
FEE BASIS CHECK CANCELLATION REASON^13^FB(162.95,^3.5^13
FEE BASIS GEOGRAPHIC INDEX^42941^FB(162.96,^3.5^42941
FEE BASIS CPT RVU^20207^FB(162.97,^3.5^20211
FEE BASIS MODIFIER TABLE INDEX^2209^FB(162.98,^3.5^2209
FEE BASIS HCFA CONVERSION^6^FB(162.99,^3.5^6
FPPS QUEUED INVOICES^^FBHL(163.5,^3.5^
FEE BASIS FPPS AUDIT^^FB(163.7,^3.5^
FEE BASIS VA TYPE OF SERVICE^14^FBAA(163.85,^3.5^15
FEE BASIS PAYMENT METHODOLOGY^13^FBAA(163.98,^3.5^13
FEE BASIS FEE SCHEDULE^^FBAA(163.99,^3.5^
ICDO TOPOGRAPHY^333^ONCO(164,^2.2^67999
ICDO-SITES^70^ONCO(164.08,^2.2^6780
ICD-O-2 MORPHOLOGY^1335^ONCO(164.1,^2.2^69760
ICDO SITE GROUPS FOR REPORTING^18^ONCO(164.14,^2.2^18
TUMOR MARKERS^9^ONCO(164.15,^2.2^9
KARNOFSKY'S RATING^13^ONCO(164.17,^2.2^13
CHEMOTHERAPEUTIC DRUGS^362^ONCO(164.18,^2.2^363
SITE-GROUP FOR ONCOLOGY^50^ONCO(164.2,^2.2^77
OTHER STAGING FOR ONCOLOGY^144^ONCO(164.3,^2.2^147
AJCC STAGING GROUPS^66^ONCO(164.33,^2.2^66
COMMON CANCERS^26^ONCO(164.4,^2.2^26
PRIMARY CANCER STATUS CODE^3^ONCO(164.42,^2.2^9
GRADE^9^ONCO(164.43,^2.2^9
AJCC STAGE GROUP^33^ONCO(164.45,^2.2^47
RACE CODE FOR ONCOLOGY^31^ONCO(164.46,^2.2^17
SEER CODE SET^251^ONCO(164.5,^2.2^252
ONC CS SITE-SPECIFIC FACTORS^43^ONCO(164.52,^2.2^43
TYPE OF STAGING SYSTEM (PEDIATRIC)^19^ONCO(164.6,^2.2^19
RADIATION TREATMENT VOLUME^46^ONCO(164.7,^2.2^46
RADIATION COMPLETION STATUS^10^ONCO(164.8,^2.2^10
WHO HISTOLOGICAL CLASSIFICATION^124^ONCO(164.9,^2.2^125
ONCOLOGY CONTACT^^ONCO(165,^2.2^
FOLLOW-UP FORM LETTER^12^ONCO(165.1,^2.2^36
GEOCODES^245^ONCO(165.2,^2.2^999
CLASS OF CASE^24^ONCO(165.3,^2.2^24
ONCOLOGY PRIMARY^0^ONCO(165.5,^2.2^
CONVERSION FLAGS^1^ONCO(165.55,^2.2^1
COMPUTED PRIMARY^^ONCO(165.59,^2.2^
ONCOLOGY STAGED BY CODES^14^ONCO(165.7,^2.2^14
CASEFINDING SOURCE^22^ONCO(166,^2.2^99
BLADDER PHYSICIAN SPECIALTY^11^ONCO(166.12,^2.2^11
REGIONAL TREATMENT MODALITY^47^ONCO(166.13,^2.2^47
ONCOLOGY SUBSITE^33^ONCO(166.3,^2.2^33
HEMATOLOGIC TRANSPLANT/ENDOCRINE PROCEDURES^13^ONCO(167,^2.2^13
TYPE OF REPORTING SOURCE^8^ONCO(168,^2.2^8
TYPE OF MULTIPLE TUMORS^12^ONCO(169,^2.2^12
ICD-O-3 MORPHOLOGY^1523^ONCO(169.3,^2.2^85073
ONCOLOGY PACKAGE STATUS^1^ONCO(169.99,^2.2^1
CRHD HANDOFF PARAMETERS^^CRHD(183,^1.0^
CRHD TEMPORARY DATA^^CRHD(183.2,^1.0^
CRHD HOT TEAM PATIENT LIST^^CRHD(183.3,^1.0^
CRHD TEAM CONTACT LIST^^CRHD(183.4,^1.0^
RECORDS^^RT(^2^10
REQUESTED RECORDS^^RTV(190.1,^2^
MISSING RECORDS^^RTV(190.2,^2^
RECORD MOVEMENT HISTORY^^RTV(190.3,^2^
PULL LIST^^RTV(194.2,^2^
RECORD TRACKING SORT GLOBAL^1^RTV(194.3,^2.0^1
LABEL FORMAT^8^DIC(194.4,^2^8
LABEL PRINT FIELD^33^DIC(194.5,^2^50
RECORD TRACKING APPLICATION^2^DIC(195.1,^2^2
RECORD TYPES^7^DIC(195.2,^2^13
RECORD MOVEMENT TYPES^28^DIC(195.3,^2^32
RECORD TRACKING SYSTEM PARAMETERS^2^DIC(195.4,^2^2
REASONS^6^DIC(195.6,^2^12
BORROWERS/FILE AREAS^1^RTV(195.9,^2^1
NEW PERSON^64^VA(200,^2.0^62
USER CLASS^9^VA(201,^8.0^9
NURS STAFF^^NURSF(210,^4.0^
NURS PAY SCALE^281^NURSF(211.1,^4.0^281
*NURS GRADE/STEP^^NURSF(211.2,^4.0^
NURS SERVICE POSITION^62^NURSF(211.3,^4.0^64
NURS LOCATION^0^NURSF(211.4,^4.0^
NURS CLINICAL BACKGROUND^17^NURSF(211.5,^4.0^17
NURS TOUR OF DUTY^3^NURSF(211.6,^4.0^3
NURS AMIS POSITION^15^NURSF(211.7,^4.0^20
NURS POSITION CONTROL^0^NURSF(211.8,^4.0^
NURS VACANCY/TRANSFERRED REASONS^12^NURSF(211.9,^4.0^15
NURS EDUCATION^9^NURSF(212.1,^4.0^9
NURS CERTIFICATION^13^NURSF(212.2,^4.0^13
NURS COLLEGE MAJOR^50^NURSF(212.3,^4.0^4900
*NURS MANDATORY INSERVICE^^NURSF(212.4,^4.0^
*NURS MI CLASS GROUP^^NURSF(212.42,^4.0^
NURS PRIVILEGE^4^NURSF(212.6,^4.0^4
NURS PRODUCT LINE^1^NURSF(212.7,^4.0^1
VANOD UNIT TYPES^30^NURSF(212.8,^4.0^30
NURS AMIS 1106B FTEE^^NURSA(213.2,^4.0^
NURS AMIS WARD^11^NURSF(213.3,^4.0^11
NURS AMIS 1106 MANHOURS^0^NURSA(213.4,^4.0^
NURS AMIS DAILY EXCEPTION REPORT^^NURSA(213.5,^4.0^
NURS PARAMETERS^^DIC(213.9,^4.0^
NURS PATIENT^^NURSF(214,^4.0^
NURS CLASSIFICATION^^NURSA(214.6,^4.0^
NURS REVIEW CLASSIFICATION^^NURSA(214.7,^4.0^
NURS CARE PLAN^^NURSC(216.8,^4.0^
NURQ QI SUMMARY^^NURQ(217,^4.0^
NURQ STANDARDS OF CARE/PRACTICE^1^NURQ(217.1,^4.0^1
NURQ RATIONALE^3^NURQ(217.2,^4.0^3
NURQ FREQUENCY^8^NURQ(217.3,^4.0^9
*NURS CONVERSION NAME CHANGE^^NURSF(219.7,^4.0^
DENTAL PATIENT^0^DENT(220,^1.2^
DENTAL CLASSIFICATION^22^DIC(220.2,^1.2^22
DENTAL TYPE OF SERVICE^^DIC(220.3,^^
DENTAL BED SECTION^^DIC(220.4,^^
DENTAL PROVIDER^^DENT(220.5,^1.2^
DENTAL PROVIDER TYPE^17^DENT(220.51,^1.2^17
DENTAL PROVIDER SPECIALTY^11^DENT(220.52,^1.2^12
DENTAL SCREEN (USER)^22^DENT(220.6,^^454
DENTAL TREATMENT (AMIS)^0^DENT(221,^^
DENTAL FEE BASIS (AMIS)^^DENT(222,^1.2^
DENTAL CLASS I-VI (AMIS)^^DENT(223,^1.2^
DENTAL PERSONNEL (AMIS)^^DENT(224,^1.2^
DENTAL SITE PARAMETERS^^DENT(225,^^
DENTAL NON CLINICAL TIME^0^DENT(226,^^
DENTAL CANNED COMMENTS^15^DENT(227,^1.2^16
ED LOG^^EDP(230,^2.0^
ED LOG HISTORY^^EDP(230.1,^2.0^
TRACKING BOARD^^EDPB(231.6,^2.0^
TRACKING STAFF^^EDPB(231.7,^2.0^
TRACKING ROOM-BED^1^EDPB(231.8,^2.0^1
TRACKING AREA^1^EDPB(231.9,^2.0^1
EDP REPORT TEMPLATE^^EDPB(232.1,^2.0^
EDP REPORT ELEMENTS^23^EDPB(232.11,^2.0^23
CPE ROLE^4^EDPB(232.5,^2.0^4
EDP WORKSHEET SPECIFICATION^3^EDPB(232.6,^2.0^3
EDP WORKSHEET SECTION^10^EDPB(232.71,^2.0^10
EDP WORKSHEET COMPONENT^22^EDPB(232.72,^2.0^22
EDP WORKSHEET COMPONENT TYPE^7^EDPB(232.73,^2.0^7
EDP COMPONENT VALIDATORS^3^EDPB(232.74,^2.0^3
TRACKING CODE^59^EDPB(233.1,^2.0^78
TRACKING CODE SET^5^EDPB(233.2,^2.0^6
NHAMCS REASON FOR VISIT^^EDPB(233.8,^2.0^
NHAMCS REASON FOR VISIT DISPLAY^^EDPB(233.81,^2.0^
ED COMPLAINT^^EDPB(233.82,^2.0^
CLINICAL EVENTS^^EDP(234,^2.0^
IVM PATIENT^^IVM(301.5,^2.0^
